2024-01-05  [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=181|52=20240105-08:18:33|10=096|
2024-01-05 09:25:08.012 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=240|35=8|34=204|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:25:08.010|11=HS_17044431082|37=FXZ4ix0FS|54=2|40=2|59=0|17=202401049|150=A|39=A|38=2889|151=2889|14=0|6=0|44=197.111|60=20240105-08:25:08.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=242|
2024-01-05 09:25:23.383 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=237|35=8|34=205|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:25:23.382|11=HS_17044431082|37=FXZ4ix0FS|54=2|40=2|59=0|17=2024010410|150=A|39=A|38=2889|151=2889|14=0|6=0|44=197|60=20240105-08:25:08.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=105|
2024-01-05 09:25:23.386 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=253|35=8|34=206|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:25:23.385|11=HS_17044431082|37=FXZ4ix0FS|198=qm2cx2aadc9|54=2|40=2|59=0|17=2024010411|150=0|39=0|38=2889|151=2889|14=0|6=0|44=197|60=20240105-08:25:23.384|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=021|
2024-01-05 09:25:36.074 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=207|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:25:36.073|10=035|
2024-01-05 09:25:38.037 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=196|52=20240105-08:25:38|10=105|
2024-01-05 09:26:06.026 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=208|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:26:06.025|10=031|
2024-01-05 09:26:08.050 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=197|52=20240105-08:26:08|10=104|
2024-01-05 09:26:35.982 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=209|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:26:35.982|10=046|
2024-01-05 09:26:38.057 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=198|52=20240105-08:26:38|10=108|
2024-01-05 09:27:05.940 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=210|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:27:05.940|10=030|
2024-01-05 09:27:08.060 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=199|52=20240105-08:27:08|10=107|
2024-01-05 09:27:35.883 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=211|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:27:35.882|10=039|
2024-01-05 09:27:38.062 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=200|52=20240105-08:27:38|10=093|
2024-01-05 09:28:05.836 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=212|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:28:05.836|10=037|
2024-01-05 09:28:08.063 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=201|52=20240105-08:28:08|10=092|
2024-01-05 09:28:35.787 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=213|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:28:35.787|10=046|
2024-01-05 09:28:38.063 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=202|52=20240105-08:28:38|10=096|
2024-01-05 09:28:55.823 [40] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=198|35=D|49=FIXCLIENT1|56=DMA_HUB|34=203|52=20240105-08:28:55|21=1|11=HS_17044433353|38=2950|55=E:07G@XETR|54=2|60=20240105-08:28:55|40=2|59=0|44=197.111|48=US3390411052|22=4|15=EUR|207=XETR|1=bram_123|10=143|
2024-01-05 09:28:55.825 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=241|35=8|34=214|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:28:55.824|11=HS_17044433353|37=FXa4ix0FS|54=2|40=2|59=0|17=2024010412|150=A|39=A|38=2950|151=2950|14=0|6=0|44=197.111|60=20240105-08:28:55.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=041|
2024-01-05 09:29:05.746 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=215|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:29:05.745|10=040|
2024-01-05 09:29:25.823 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=204|52=20240105-08:29:25|10=095|
2024-01-05 09:29:35.701 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=216|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:29:35.700|10=035|
2024-01-05 09:29:55.824 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=205|52=20240105-08:29:55|10=099|
